GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Backend,com.greencommute.backend.controller,JobsController,95,10,10,0,21,4,7,2,2,2
Backend,com.greencommute.backend.controller,UserController,156,13,8,0,33,5,9,2,5,2
Backend,com.greencommute.backend.mapper,UserMapperImpl,18,3,2,0,6,1,2,1,1,1
Backend,com.greencommute.backend.mapper,JobMapperImpl,77,3,10,0,21,1,7,1,2,1
Backend,com.greencommute.backend.entity,CommuteRoutes,0,46,0,0,0,7,0,10,0,10
Backend,com.greencommute.backend.entity,SavedJobs,0,43,0,0,0,11,0,10,0,10
Backend,com.greencommute.backend.entity,Jobs,0,66,0,0,0,9,0,14,0,14
Backend,com.greencommute.backend.entity,User,0,36,0,0,0,6,0,8,0,8
Backend,com.greencommute.backend.entity,Skills,0,36,0,0,0,6,0,8,0,8
Backend,com.greencommute.backend.dto,ResponseDto,0,36,0,0,0,6,0,8,0,8
Backend,com.greencommute.backend.dto,UserDto,0,26,0,0,0,5,0,6,0,6
Backend,com.greencommute.backend.dto,JobsDto,0,66,0,0,0,9,0,14,0,14
Backend,com.greencommute.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
Backend,com.greencommute.backend.exception,DataNotFoundException,0,4,0,0,0,2,0,1,0,1
Backend,com.greencommute.backend.service,UserServiceImpl,0,12,0,0,0,4,0,2,0,2
Backend,com.greencommute.backend.service,SavedJobServiceImpl,92,9,10,0,20,4,8,1,3,1
Backend,com.greencommute.backend.service,JobServiceImpl,0,21,0,0,0,6,0,4,0,4
Backend,com.greencommute.backend.helper,Helper,63,3,6,0,13,1,6,1,3,1
